,ID,Year_Birth,Age,Generation,Education,Income,Dt_Customer,IncomeCategory,FamilyQty,Recency,Wine,Fruit,Meat,Fish,Sweet,Gold,Total_Amount,Deals_Purchase,Web_Purchase,Catalog_Purchase,Store_Purchase,Web_Visit,Freq_Purchase,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Latest_Cmp,Total_AccCmp
471,1581,1980,34,Millennials,Graduation,37406.0,2013-10-10,Middle,3,18,2,0,8,2,2,3,17,1,1,0,2,8,3,0,0,0,0,0,0,1,1
472,564,1981,33,Millennials,PhD,56937.0,2012-08-04,Middle,3,81,746,8,125,11,8,8,906,7,8,6,9,6,23,0,1,0,0,0,0,1,2
473,6619,1978,36,Gen X,Graduation,38415.0,2013-01-02,Middle,4,91,22,1,13,4,0,4,44,2,1,0,3,7,4,0,0,0,0,0,0,0,0
474,9081,1988,26,Millennials,Graduation,20518.0,2014-05-18,Low,2,58,4,1,6,4,1,9,25,1,1,1,2,5,4,0,0,0,0,0,0,0,0
475,178,1956,58,Baby Boomer,Graduation,62503.0,2013-02-18,High,3,40,478,0,193,110,75,117,973,4,8,3,11,5,22,0,0,0,0,0,0,0,0
476,916,1972,42,Gen X,PhD,41644.0,2014-05-09,Middle,3,67,20,3,4,2,0,2,31,2,1,0,3,3,4,0,0,0,0,0,0,0,0
477,5512,1977,37,Gen X,Master,55842.0,2014-05-23,Middle,3,19,451,0,39,0,4,24,518,1,7,1,8,5,16,0,0,0,0,0,0,0,0
478,8970,1972,42,Gen X,PhD,62010.0,2012-10-23,High,3,93,371,22,39,6,0,92,530,4,6,2,7,5,15,0,0,0,0,0,0,0,0
479,10581,1977,37,Gen X,Graduation,41124.0,2012-10-31,Middle,3,41,281,7,84,15,0,119,506,7,7,3,4,8,14,0,0,0,0,0,0,0,0
480,5300,1973,41,Gen X,Master,38961.0,2013-12-30,Middle,3,60,19,7,19,0,1,24,70,1,2,1,2,7,5,0,0,0,0,0,0,0,0
481,5154,1972,42,Gen X,Master,37760.0,2013-08-11,Middle,2,54,26,3,13,2,10,0,54,1,2,0,3,6,5,0,0,0,0,0,0,0,0
482,8346,1974,40,Gen X,Graduation,32233.0,2012-08-19,Middle,2,26,138,15,35,25,11,72,296,2,6,2,2,9,10,1,0,0,0,0,0,1,2
483,1676,1975,39,Gen X,Graduation,43057.0,2013-10-30,Middle,3,30,213,2,44,0,2,5,266,4,4,2,5,5,11,0,0,0,0,0,0,0,0
484,9286,1960,54,Baby Boomer,Master,83151.0,2012-10-10,High,2,93,407,28,100,120,74,18,747,1,5,9,4,3,18,0,0,0,0,0,0,0,0
485,2426,1964,50,Gen X,PhD,78825.0,2012-09-14,High,1,35,483,74,114,169,37,18,895,1,5,10,13,3,28,0,0,0,0,0,0,1,1
486,5172,1976,38,Gen X,Master,65104.0,2013-11-14,High,3,4,738,0,232,13,20,50,1053,2,3,5,7,7,15,0,0,0,0,0,0,0,0
487,5562,1974,40,Gen X,Graduation,60093.0,2013-06-26,High,3,92,502,12,109,16,6,90,735,2,7,2,10,6,19,0,0,0,0,0,0,0,0
488,3436,1969,45,Gen X,Graduation,14045.0,2014-01-26,Low,3,24,11,0,5,2,1,1,20,1,1,0,3,7,4,0,0,0,0,0,0,0,0
489,3921,1952,62,Baby Boomer,Master,28457.0,2012-10-28,Low,1,96,24,1,108,29,29,14,205,1,4,1,4,8,9,0,0,0,0,0,0,0,0
490,3403,1958,56,Baby Boomer,PhD,78952.0,2012-09-24,High,3,11,1170,19,594,99,76,134,2092,2,2,5,12,6,19,0,0,0,0,0,0,0,0
491,22,1976,38,Gen X,Graduation,46310.0,2012-12-03,Middle,2,99,185,2,88,15,5,14,309,2,6,1,5,8,12,0,0,0,0,0,0,0,0
492,10965,1955,59,Baby Boomer,Graduation,76005.0,2013-02-22,High,2,72,983,20,389,240,50,40,1722,1,3,5,13,6,21,0,0,0,1,0,0,0,1
493,9426,1964,50,Gen X,Master,58308.0,2013-01-12,Middle,2,77,691,0,69,10,0,130,900,4,2,6,3,8,11,0,0,0,0,0,0,0,0
494,6605,1944,70,Silent Gen,PhD,55614.0,2013-11-27,Middle,1,85,504,13,131,8,0,26,682,1,9,4,6,7,19,0,1,0,0,0,0,0,1
495,3136,1962,52,Baby Boomer,Master,59432.0,2013-04-13,Middle,2,88,317,25,265,25,19,12,663,3,5,3,11,5,19,0,0,0,0,0,0,0,0
496,8737,1978,36,Gen X,Graduation,55563.0,2014-04-05,Middle,2,22,29,1,9,2,0,2,43,1,2,0,3,3,5,0,0,0,0,0,0,0,0
497,11088,1971,43,Gen X,PhD,78642.0,2013-04-21,High,3,83,1396,0,322,46,35,17,1816,1,4,9,4,6,17,0,0,0,0,0,0,0,0
498,716,1949,65,Baby Boomer,PhD,67911.0,2014-05-22,High,3,63,529,0,356,63,28,0,976,3,6,7,11,3,24,0,0,0,0,0,0,0,0
499,466,1944,70,Silent Gen,Graduation,65275.0,2013-04-03,High,2,9,388,14,218,91,14,21,746,1,4,3,13,2,20,0,0,0,0,0,0,0,0
500,9135,1950,64,Baby Boomer,Graduation,27203.0,2012-08-06,Low,4,92,13,2,21,4,0,24,64,2,1,1,2,8,4,0,0,0,0,0,0,0,0
501,10623,1961,53,Baby Boomer,Master,48330.0,2013-11-15,Middle,3,2,28,0,4,0,0,0,32,1,1,0,3,5,4,0,0,0,0,0,0,0,0
502,8151,1990,24,Millennials,Basic,24279.0,2012-12-29,Low,2,6,16,36,21,20,62,108,263,1,4,1,3,8,8,0,0,0,0,0,0,0,0
503,5140,1985,29,Millennials,PhD,64355.0,2012-08-24,High,3,66,1047,0,140,67,38,153,1445,2,4,3,12,8,19,0,0,0,0,0,0,0,0
505,4945,1953,61,Baby Boomer,Graduation,53653.0,2012-11-07,Middle,1,29,815,10,239,28,10,108,1210,2,10,4,12,6,26,0,0,0,0,0,0,0,0
506,10584,1976,38,Gen X,Graduation,65665.0,2013-12-02,High,3,77,225,162,387,106,36,29,945,1,5,10,8,3,23,0,0,0,0,0,0,0,0
507,6071,1989,25,Millennials,Graduation,81217.0,2013-07-19,High,1,77,493,70,324,146,40,84,1157,1,3,7,11,1,21,0,0,0,0,0,0,0,0
508,3386,1992,22,Millennials,Graduation,34935.0,2013-06-21,Middle,2,71,34,4,66,3,10,20,137,1,2,1,4,7,7,0,0,0,0,0,0,0,0
509,8939,1959,55,Baby Boomer,Graduation,61250.0,2012-12-16,High,2,49,382,138,65,60,26,59,730,6,5,2,12,5,19,0,0,0,0,0,0,0,0
510,9925,1981,33,Millennials,PhD,39665.0,2013-05-25,Middle,3,97,127,1,56,0,1,31,216,3,4,2,3,7,9,1,0,0,0,0,0,0,1
511,4320,1979,35,Gen X,Graduation,60152.0,2013-03-28,High,2,6,325,83,300,86,58,91,943,1,6,4,12,3,22,0,0,0,0,0,0,0,0
512,5389,1964,50,Gen X,Graduation,48920.0,2013-10-20,Middle,4,93,238,17,68,8,10,6,347,3,6,2,5,7,13,0,1,0,0,0,0,0,1
513,6036,1959,55,Baby Boomer,Master,89120.0,2014-03-17,High,2,78,1168,92,408,72,129,55,1924,1,5,6,7,1,18,0,0,1,0,0,0,0,1
514,182,1946,68,Baby Boomer,PhD,44124.0,2013-05-11,Middle,3,62,284,0,55,0,6,52,397,4,6,2,5,8,13,0,0,0,0,0,0,0,0
515,203,1975,39,Gen X,Master,81169.0,2013-04-14,High,1,47,1288,20,613,80,61,27,2089,1,5,7,9,2,21,0,0,0,0,0,0,0,0
516,11025,1961,53,Baby Boomer,Graduation,36443.0,2013-02-03,Middle,4,9,65,0,46,4,3,20,138,4,3,1,3,8,7,0,0,0,0,0,0,0,0
517,10203,1990,24,Millennials,Graduation,26095.0,2013-06-30,Low,2,77,11,7,9,3,1,11,42,1,1,0,3,7,4,0,0,0,0,0,0,0,0
518,4607,1959,55,Baby Boomer,Graduation,71367.0,2013-08-23,High,2,24,227,23,389,42,21,75,777,1,4,5,7,2,16,0,0,0,0,0,0,0,0
519,3711,1944,70,Silent Gen,Master,80184.0,2014-03-01,High,2,19,1035,134,670,25,38,0,1902,1,6,3,10,3,19,0,0,1,1,0,0,0,2
520,3696,1965,49,Gen X,Graduation,30630.0,2014-01-27,Middle,3,67,27,1,12,2,0,10,52,2,2,0,3,7,5,0,0,0,0,0,0,0,0
521,2532,1987,27,Millennials,Master,73454.0,2014-03-01,High,1,95,982,73,351,56,14,175,1651,1,2,4,6,5,12,1,0,0,0,0,0,0,1
522,9214,1991,23,Millennials,Graduation,42691.0,2013-08-16,Middle,2,48,179,2,64,38,17,58,358,1,5,1,6,5,12,0,0,0,0,0,0,0,0
523,4943,1953,61,Baby Boomer,Graduation,70503.0,2012-09-30,High,2,73,1379,33,216,0,33,66,1727,1,2,4,9,6,15,0,1,1,0,0,0,0,2
524,35,1987,27,Millennials,Graduation,25545.0,2012-09-08,Low,3,35,32,1,64,16,12,85,210,3,2,2,3,6,7,0,0,0,0,0,0,1,1
525,2258,1986,28,Millennials,Graduation,32880.0,2012-12-04,Middle,3,76,8,4,15,7,6,2,42,1,1,0,3,8,4,0,0,0,0,0,0,0,0
526,4322,1958,56,Baby Boomer,PhD,77863.0,2013-11-27,High,2,20,881,38,319,16,25,12,1291,1,4,5,10,2,19,0,0,0,0,0,0,0,0
527,713,1977,37,Gen X,Master,50353.0,2014-06-08,Middle,2,72,141,15,153,67,31,35,442,1,4,4,6,3,14,0,0,0,0,0,0,0,0
528,4702,1964,50,Gen X,Graduation,61839.0,2012-08-12,High,1,20,1000,155,379,224,17,120,1895,1,4,8,4,8,16,0,0,0,0,0,0,0,0
529,3281,1960,54,Baby Boomer,PhD,49154.0,2013-11-03,Middle,4,69,206,10,67,30,27,71,411,6,4,1,8,6,13,0,0,0,0,0,0,0,0
530,702,1975,39,Gen X,Master,47682.0,2013-02-15,Middle,2,80,162,61,83,97,57,61,521,4,4,3,8,5,15,0,0,0,0,0,0,0,0
531,2004,1969,45,Gen X,Graduation,72679.0,2013-09-18,High,2,65,619,54,260,127,54,54,1168,1,4,7,5,1,16,0,0,0,0,0,0,0,0
532,4769,1977,37,Gen X,Master,57954.0,2014-06-18,Middle,4,52,456,4,24,0,0,9,493,7,8,2,6,7,16,0,1,0,0,0,0,0,1
533,4437,1962,52,Baby Boomer,Graduation,65316.0,2013-04-24,High,4,65,112,6,92,3,9,38,260,2,3,2,5,4,10,0,0,0,0,0,0,0,0
534,8724,1982,32,Millennials,Graduation,28567.0,2013-06-17,Low,2,57,11,3,22,2,2,6,46,2,2,0,3,6,5,0,0,0,0,0,0,0,0
535,10741,1951,63,Baby Boomer,Master,47352.0,2013-04-11,Middle,3,70,172,12,112,8,0,15,319,4,6,1,5,7,12,0,0,0,0,0,0,0,0
536,1991,1967,47,Gen X,Graduation,44931.0,2014-01-18,Middle,3,0,78,0,11,0,0,7,96,1,2,1,3,5,6,0,0,0,0,0,0,0,0
537,6931,1967,47,Gen X,Graduation,76982.0,2014-02-15,High,1,19,464,151,292,65,60,30,1062,1,8,3,4,4,15,0,0,1,0,0,0,1,2
538,11096,1952,62,Baby Boomer,Master,57247.0,2013-08-08,Middle,3,50,99,4,32,37,54,6,232,2,2,1,7,2,10,0,0,0,0,0,0,0,0
539,304,1981,33,Millennials,Master,22944.0,2013-12-23,Low,2,67,19,3,19,4,5,26,76,3,3,0,3,7,6,0,0,0,0,0,0,0,0
540,3665,1977,37,Gen X,Master,25315.0,2013-11-07,Low,3,46,1,9,8,11,3,22,54,3,3,0,3,8,6,0,0,0,0,0,0,0,0
541,10591,1969,45,Gen X,Graduation,43638.0,2012-08-06,Middle,2,37,63,10,83,7,19,19,201,2,4,1,4,7,9,0,0,0,0,0,0,0,0
542,5036,1984,30,Millennials,PhD,42710.0,2012-11-28,Middle,2,38,252,3,42,4,3,102,406,2,4,5,3,6,12,0,0,0,0,0,0,0,0
543,5547,1982,32,Millennials,PhD,84169.0,2013-08-07,High,2,9,1478,19,403,0,19,0,1919,1,7,6,6,3,19,0,1,1,0,0,0,1,3
544,7822,1976,38,Gen X,Graduation,54058.0,2013-06-04,Middle,3,56,198,18,252,32,108,54,662,2,4,6,8,3,18,0,0,0,0,0,0,0,0
545,8541,1990,24,Millennials,Master,24683.0,2014-03-08,Low,3,98,8,4,10,6,7,6,41,2,2,0,4,5,6,0,0,0,0,0,0,0,0
546,10955,1964,50,Gen X,Graduation,85620.0,2014-01-07,High,1,68,416,46,925,60,107,46,1600,1,3,6,4,1,13,0,0,0,0,0,0,1,1
547,4368,1980,34,Millennials,Graduation,47850.0,2013-12-03,Middle,3,72,42,7,43,20,12,10,134,1,3,0,4,6,7,0,0,0,0,0,0,0,0
548,9671,1968,46,Gen X,Graduation,19514.0,2014-01-26,Low,4,47,14,3,21,2,1,28,69,4,3,1,2,8,6,1,0,0,0,0,0,1,2
549,2256,1973,41,Gen X,Master,27159.0,2014-03-29,Low,4,33,17,0,3,0,0,1,21,2,1,0,3,6,4,0,0,0,0,0,0,0,0
550,4279,1963,51,Baby Boomer,Master,39548.0,2014-03-31,Middle,3,87,15,4,10,3,4,18,54,2,1,1,3,3,5,0,0,0,0,0,0,0,0
551,5371,1989,25,Millennials,Graduation,21474.0,2014-04-08,Low,2,0,6,16,24,11,0,34,91,2,3,1,2,7,6,1,0,0,0,0,0,1,2
552,9240,1971,43,Gen X,PhD,60504.0,2014-02-07,High,2,73,458,0,24,6,4,34,526,2,6,2,8,6,16,0,0,0,0,0,0,0,0
553,9460,1963,51,Baby Boomer,Graduation,22419.0,2013-04-18,Low,2,74,30,3,47,19,21,42,162,1,3,2,2,8,7,0,0,0,0,0,0,0,0
554,9504,1949,65,Baby Boomer,Master,81698.0,2013-11-06,High,2,4,179,28,520,111,123,47,1008,1,3,8,13,1,24,0,0,0,0,0,0,1,1
555,8692,1952,62,Baby Boomer,Graduation,43462.0,2012-09-12,Middle,4,50,90,17,97,15,6,15,240,6,4,1,5,8,10,0,0,0,0,0,0,0,0
556,448,1978,36,Gen X,PhD,54880.0,2013-03-01,Middle,2,57,308,85,137,102,45,118,795,2,6,2,11,5,19,0,0,0,0,0,0,0,0
557,8314,1982,32,Millennials,Graduation,79908.0,2013-04-05,High,2,30,557,129,761,29,185,111,1772,1,5,6,7,2,18,0,0,1,0,0,0,0,1
558,8420,1970,44,Gen X,Master,15315.0,2013-08-03,Low,2,27,7,4,13,15,8,17,64,2,2,0,4,5,6,0,0,0,0,0,0,0,0
559,3174,1959,55,Baby Boomer,Graduation,87771.0,2013-05-22,High,3,61,1492,38,287,50,57,33,1957,1,5,10,4,6,19,0,1,1,1,1,0,1,5
560,7685,1978,36,Gen X,Graduation,33039.0,2013-09-09,Middle,3,4,30,8,12,8,8,12,78,1,2,0,4,5,6,0,0,0,0,0,0,0,0
561,3179,1980,34,Millennials,Graduation,81741.0,2013-06-16,High,1,75,249,153,940,58,134,38,1572,0,6,6,7,2,19,0,0,0,0,0,0,0,0
562,9780,1971,43,Gen X,Master,71499.0,2013-06-25,High,3,12,465,25,132,136,0,37,795,2,8,3,13,4,24,0,0,0,0,0,0,0,0
563,10681,1970,44,Gen X,Master,62466.0,2014-01-15,High,3,13,129,129,259,168,121,83,889,5,6,3,12,4,21,0,0,0,0,0,0,0,0
564,10232,1963,51,Baby Boomer,PhD,48799.0,2013-11-05,Middle,2,9,174,18,81,28,6,24,331,3,3,2,7,3,12,0,0,0,0,0,0,0,0
565,4184,1950,64,Baby Boomer,PhD,52157.0,2014-06-07,Middle,3,48,189,2,29,3,2,40,265,2,3,2,5,4,10,0,0,0,0,0,0,0,0
566,9120,1962,52,Baby Boomer,Graduation,66565.0,2012-12-05,High,2,80,747,10,161,65,40,42,1065,4,4,2,9,8,15,0,0,0,0,0,0,0,0
567,891,1951,63,Baby Boomer,Master,29298.0,2013-09-07,Low,4,60,6,0,2,2,0,1,11,1,1,0,2,5,3,0,0,0,0,0,0,0,0
568,10381,1979,35,Gen X,Graduation,47691.0,2013-07-05,Middle,2,43,14,0,3,0,0,4,21,1,1,0,2,6,3,0,0,0,0,0,0,0,0
569,3525,1970,44,Gen X,Graduation,38200.0,2012-12-07,Middle,4,19,12,0,4,0,0,1,17,1,1,0,2,7,3,0,0,0,0,0,0,0,0
570,6818,1974,40,Gen X,Graduation,44989.0,2012-09-12,Middle,3,26,98,0,106,49,10,106,369,5,5,1,5,6,11,0,0,0,0,0,0,0,0
571,3526,1968,46,Gen X,PhD,38443.0,2014-01-27,Middle,4,58,32,0,5,0,0,1,38,2,1,0,3,7,4,0,0,0,0,0,0,0,0
572,8181,1978,36,Gen X,Master,38593.0,2013-09-13,Middle,2,42,51,12,49,17,24,24,177,3,4,1,3,8,8,0,0,0,0,0,0,0,0
573,1029,1970,44,Gen X,PhD,64413.0,2013-08-01,High,3,27,200,5,44,0,10,20,279,1,5,1,5,5,11,0,0,0,0,0,0,0,0
574,7369,1981,33,Millennials,Master,36959.0,2013-10-02,Middle,3,56,25,6,25,6,0,0,62,2,2,0,3,8,5,0,0,0,0,0,0,0,0
575,2574,1977,37,Gen X,PhD,61996.0,2013-01-31,High,3,27,1050,12,144,0,0,24,1230,3,6,4,8,5,18,0,1,0,1,1,0,1,4
576,8159,1968,46,Gen X,Graduation,51287.0,2014-04-01,Middle,4,10,117,0,22,13,0,30,182,3,4,1,3,7,8,0,0,0,0,0,0,0,0
577,1160,1970,44,Gen X,Graduation,13260.0,2013-08-23,Low,4,48,9,4,17,10,2,7,49,4,3,0,3,8,6,0,0,0,0,0,0,0,0
578,10242,1966,48,Gen X,PhD,47472.0,2013-09-16,Middle,4,39,56,0,11,0,0,8,75,2,2,0,4,5,6,0,0,0,0,0,0,0,0
579,5253,1956,58,Baby Boomer,Master,54603.0,2013-07-09,Middle,4,85,145,13,46,17,2,4,227,6,4,2,4,7,10,0,0,0,0,0,0,0,0
580,5966,1974,40,Gen X,PhD,45207.0,2012-11-10,Middle,4,64,203,0,10,0,0,2,215,5,3,1,6,6,10,0,1,0,0,0,0,0,1
582,5081,1967,47,Gen X,Master,47821.0,2013-10-20,Middle,4,54,9,0,16,6,6,10,47,1,1,0,3,8,4,0,0,0,0,0,0,0,0
583,5123,1951,63,Baby Boomer,Master,27450.0,2013-04-15,Low,2,57,37,12,23,8,11,52,143,1,2,1,3,7,6,0,0,0,0,0,0,0,0
584,5756,1983,31,Millennials,Graduation,39453.0,2014-04-03,Middle,3,64,46,0,7,0,0,2,55,2,2,0,3,6,5,0,0,0,0,0,0,0,0
585,8036,1971,43,Gen X,Master,26850.0,2014-04-18,Low,4,10,31,1,13,7,2,9,63,4,2,1,4,4,7,0,0,0,0,0,0,0,0
586,9058,1955,59,Baby Boomer,Graduation,79800.0,2012-09-23,High,1,65,1060,21,530,32,0,224,1867,1,5,11,5,3,21,1,0,1,1,0,0,1,4
587,5057,1961,53,Baby Boomer,Master,61794.0,2013-09-14,High,3,74,264,47,188,54,47,11,611,2,4,4,10,2,18,0,0,0,0,0,0,0,0
588,254,1955,59,Baby Boomer,Graduation,53863.0,2014-05-17,Middle,3,4,399,4,30,6,4,30,473,3,7,1,7,7,15,0,1,0,0,0,0,0,1
589,4179,1959,55,Baby Boomer,Graduation,24221.0,2013-08-20,Low,2,94,8,9,9,2,5,22,55,1,1,1,3,4,5,0,0,0,0,0,0,0,0
590,3710,1984,30,Millennials,PhD,39684.0,2012-10-12,Middle,2,41,19,0,35,6,4,17,81,2,2,1,2,7,5,0,0,0,0,0,1,1,1
591,7627,1975,39,Gen X,Master,92163.0,2012-12-12,Very High,2,25,817,183,797,106,163,20,2086,0,5,11,5,2,21,0,0,1,1,0,0,1,3
592,4501,1965,49,Gen X,Master,69882.0,2013-11-10,High,1,94,292,127,635,132,127,165,1478,1,3,7,9,1,19,0,0,0,0,0,0,0,0
593,6424,1977,37,Gen X,Graduation,33178.0,2014-01-30,Middle,3,9,12,6,2,11,2,16,49,1,1,0,3,4,4,0,0,0,0,0,0,0,0
594,3075,1972,42,Gen X,PhD,59973.0,2013-09-11,Middle,2,47,130,30,168,20,34,0,382,1,3,4,7,1,14,0,0,0,0,0,0,0,0
595,4992,1975,39,Gen X,Master,17459.0,2013-09-19,Low,3,12,6,4,16,3,10,30,69,3,3,1,2,7,6,0,0,0,0,0,0,1,1
596,5252,1969,45,Gen X,Graduation,23910.0,2012-10-26,Low,2,80,16,12,18,7,1,13,67,1,2,0,3,7,5,0,0,0,0,0,0,0,0
597,7444,1969,45,Gen X,Master,42169.0,2013-10-19,Middle,4,20,19,0,9,0,0,2,30,2,1,0,3,8,4,0,0,0,0,0,0,0,0
598,6919,1978,36,Gen X,Master,26224.0,2013-06-04,Low,3,39,4,7,15,13,9,15,63,3,2,1,3,6,6,0,0,0,0,0,0,0,0
599,3537,1981,33,Millennials,Graduation,31089.0,2012-08-17,Middle,3,57,31,3,31,2,8,4,79,3,3,0,4,8,7,0,0,0,0,0,0,0,0
600,10277,1961,53,Baby Boomer,Graduation,30081.0,2013-02-21,Middle,2,27,36,0,2,0,0,4,42,1,1,0,3,7,4,0,0,0,0,0,0,0,0
601,2453,1960,54,Baby Boomer,Graduation,62807.0,2012-08-31,High,3,83,526,28,135,10,21,99,819,3,5,3,12,5,20,0,0,0,0,0,0,0,0
602,7972,1955,59,Baby Boomer,Graduation,72906.0,2013-09-17,High,1,79,400,32,519,71,75,54,1151,1,3,4,9,1,16,0,0,0,0,0,0,0,0
603,895,1948,66,Baby Boomer,PhD,61467.0,2012-12-09,High,4,69,410,16,114,0,5,49,594,3,5,2,10,5,17,0,0,0,0,0,0,0,0
604,1177,1966,48,Gen X,Master,49618.0,2013-01-26,Middle,4,77,80,3,26,4,2,14,129,4,3,1,3,7,7,0,0,0,0,0,0,0,0
605,7141,1986,28,Millennials,Master,21888.0,2012-12-29,Low,2,15,88,10,46,2,3,64,213,4,5,1,2,10,8,0,0,0,0,0,0,1,1
607,8477,1956,58,Baby Boomer,Graduation,26150.0,2013-03-11,Low,4,61,5,1,13,3,5,1,28,1,1,0,3,7,4,0,0,0,0,0,0,0,0
608,2457,1975,39,Gen X,Basic,30801.0,2012-10-26,Middle,3,23,8,4,5,15,2,11,45,2,1,0,3,7,4,0,0,0,0,0,0,0,0
609,988,1965,49,Gen X,Graduation,81168.0,2014-05-07,High,2,84,410,0,592,147,22,22,1193,1,6,4,7,3,17,0,0,0,1,0,0,0,1
610,7930,1969,45,Gen X,Master,26877.0,2013-08-19,Low,1,74,101,13,76,20,18,40,268,2,3,1,6,6,10,0,0,0,0,0,0,0,0
611,4587,1944,70,Silent Gen,Master,45006.0,2013-07-18,Middle,1,90,162,25,53,16,0,10,266,1,3,1,7,3,11,0,0,0,0,0,0,0,0
612,6682,1973,41,Gen X,Basic,18978.0,2012-12-11,Low,3,41,2,8,1,4,7,15,37,1,1,0,3,8,4,0,0,0,0,0,0,0,0
614,10299,1969,45,Gen X,PhD,48240.0,2012-11-09,Middle,1,73,389,91,248,64,49,41,882,3,6,3,13,5,22,0,0,0,0,0,0,1,1
615,3083,1974,40,Gen X,Graduation,45837.0,2013-07-26,Middle,4,88,215,13,87,17,17,24,373,5,6,2,5,7,13,0,0,0,0,0,0,0,0
616,8953,1965,49,Gen X,Master,35791.0,2013-05-06,Middle,4,94,27,0,5,0,0,3,35,2,1,0,3,8,4,0,0,0,0,0,0,0,0
617,1503,1976,38,Gen X,PhD,162397.0,2013-06-03,Very High,4,31,85,1,16,2,1,2,107,0,0,0,1,1,1,0,0,0,0,0,0,0,0
618,8650,1978,36,Gen X,Graduation,54162.0,2013-03-18,Middle,3,31,5,6,10,6,5,10,42,1,1,0,3,4,4,0,0,0,0,0,0,0,0
619,10862,1960,54,Baby Boomer,Master,30522.0,2012-08-17,Middle,3,6,179,8,83,19,11,26,326,5,1,2,9,2,12,0,0,0,0,0,0,0,0
620,2782,1961,53,Baby Boomer,PhD,54456.0,2013-07-11,Middle,3,23,352,0,27,10,0,15,404,3,6,1,7,6,14,0,0,0,0,0,0,0,0
621,6941,1971,43,Gen X,Graduation,31632.0,2013-07-14,Middle,1,92,17,8,12,11,15,32,95,1,2,1,2,7,5,0,0,0,0,0,0,0,0
622,10972,1949,65,Baby Boomer,Graduation,72298.0,2014-03-10,High,1,52,625,35,169,58,17,35,939,1,4,3,6,1,13,0,1,1,0,0,0,0,2
623,10708,1978,36,Gen X,Master,36975.0,2013-12-28,Middle,2,50,10,6,11,0,4,2,33,1,1,0,3,7,4,0,0,0,0,0,0,0,0
624,6583,1955,59,Baby Boomer,Master,72635.0,2013-06-03,High,2,54,390,22,323,104,35,107,981,1,6,8,6,3,20,0,0,0,1,0,0,0,1
625,3641,1976,38,Gen X,Graduation,13624.0,2013-01-20,Low,3,93,10,2,15,2,1,6,36,2,2,0,3,6,5,0,0,0,0,0,0,0,0
626,10156,1975,39,Gen X,Graduation,84196.0,2013-06-03,High,2,56,215,63,507,231,31,190,1237,1,8,4,7,3,19,0,0,0,0,0,0,0,0
627,4299,1960,54,Baby Boomer,Graduation,70971.0,2012-09-21,High,3,28,1001,17,572,93,125,17,1825,7,11,11,5,7,27,0,0,0,0,0,0,1,1
628,3469,1977,37,Gen X,PhD,34487.0,2012-09-06,Middle,3,94,19,18,33,24,1,8,103,3,3,0,3,9,6,0,0,0,0,0,0,0,0
629,5063,1977,37,Gen X,Graduation,28769.0,2012-12-18,Low,2,76,41,5,129,10,3,3,191,3,4,1,4,9,9,0,0,0,0,0,0,0,0
630,10727,1970,44,Gen X,PhD,69084.0,2013-11-19,High,3,43,1181,107,199,39,30,30,1586,2,7,3,13,8,23,0,0,0,0,0,0,0,0
631,9624,1958,56,Baby Boomer,PhD,65488.0,2014-06-13,High,2,46,603,45,207,36,18,54,963,1,3,4,6,1,13,0,0,0,0,0,0,0,0
633,4376,1960,54,Baby Boomer,Master,32218.0,2014-02-15,Middle,1,27,10,24,15,13,1,30,93,1,2,1,3,7,6,1,0,0,0,0,0,1,2
634,8923,1973,41,Gen X,Graduation,83917.0,2013-04-18,High,1,12,514,22,732,42,198,79,1587,1,6,7,7,3,20,0,0,0,0,0,0,1,1
635,8461,1962,52,Baby Boomer,Graduation,46102.0,2014-03-10,Middle,4,3,14,0,1,0,0,1,16,1,1,0,2,7,3,0,0,0,0,0,0,0,0
636,6945,1952,62,Baby Boomer,Graduation,84574.0,2013-06-04,High,1,72,387,20,713,38,54,163,1375,1,9,11,11,5,31,0,0,0,0,0,0,0,0
637,944,1962,52,Baby Boomer,Graduation,56181.0,2013-01-08,Middle,3,6,121,103,69,8,44,48,393,1,4,2,7,4,13,0,0,0,0,0,0,0,0
638,1907,1950,64,Baby Boomer,Master,63120.0,2012-09-28,High,2,53,965,69,279,54,41,69,1477,5,8,4,9,7,21,0,0,0,0,0,0,1,1
639,701,1971,43,Gen X,Graduation,73691.0,2013-11-06,High,3,58,707,21,250,85,43,73,1179,2,6,2,8,2,16,1,0,0,0,0,0,0,1
641,4149,1948,66,Baby Boomer,PhD,76140.0,2014-05-13,High,2,57,586,66,653,17,0,26,1348,1,5,9,6,2,20,0,0,0,0,0,0,0,0
642,2131,1959,55,Baby Boomer,PhD,62859.0,2012-12-30,High,2,37,1063,89,102,16,12,25,1307,4,9,4,6,6,19,0,0,0,0,0,0,0,0
643,2942,1964,50,Gen X,Graduation,45906.0,2013-05-07,Middle,2,20,305,3,27,4,3,144,486,2,5,4,4,5,13,1,0,0,0,0,0,0,1
644,1173,1947,67,Baby Boomer,Master,77632.0,2013-03-10,High,2,73,1200,105,758,0,42,147,2252,1,4,2,6,2,12,0,1,1,0,0,0,1,3
645,4381,1971,43,Gen X,PhD,46463.0,2013-08-18,Middle,4,56,163,2,40,8,11,11,235,7,3,1,6,6,10,0,0,0,0,0,0,0,0
