,Customer ID,R Rank,F Rank,M Rank,R,F,M,RFM_SCORE,Segment
441,7495,28.0,9.0,140.0,3,2,2,7,Potential Loyalists Customer
442,5029,86.0,4.0,9.0,1,1,1,3,Potential Lost Customer
444,2106,1.0,5.0,29.0,4,1,1,6,Potential Loyalists Customer
445,10364,28.0,4.0,15.0,3,1,1,5,New Customer
446,5954,8.0,10.0,170.0,4,2,2,8,Loyal Customer
447,1137,13.0,17.0,811.0,4,3,4,11,Loyal Customer
448,2541,93.0,6.0,43.0,1,1,1,3,Potential Lost Customer
449,1142,9.0,15.0,323.0,4,3,3,10,Loyal Customer
450,2276,29.0,23.0,545.0,3,4,3,10,Loyal Customer
451,2807,76.0,25.0,618.0,2,4,3,9,Loyal Customer
452,6471,83.0,7.0,54.0,1,1,1,3,Potential Lost Customer
453,6131,13.0,15.0,325.0,4,3,3,10,Loyal Customer
454,6233,79.0,25.0,602.0,1,4,3,8,Loyal Customer
455,4148,10.0,13.0,272.0,4,2,2,8,Loyal Customer
456,4947,56.0,24.0,1014.0,2,4,4,10,Loyal Customer
457,3225,29.0,11.0,216.0,3,2,2,7,Potential Loyalists Customer
458,7540,48.0,12.0,221.0,3,2,2,7,Potential Loyalists Customer
459,10648,22.0,19.0,776.0,4,3,4,11,Loyal Customer
460,1992,98.0,13.0,557.0,1,2,3,6,Potential Loyalists Customer
461,7851,40.0,22.0,577.0,3,4,3,10,Loyal Customer
462,8594,75.0,8.0,123.0,2,2,2,6,Potential Loyalists Customer
464,2815,54.0,8.0,109.0,2,2,2,6,Potential Loyalists Customer
465,2416,17.0,20.0,775.0,4,4,4,12,Loyal Customer
466,7999,83.0,17.0,946.0,1,3,4,8,Loyal Customer
467,9213,87.0,4.0,10.0,1,1,1,3,Potential Lost Customer
468,9697,14.0,18.0,386.0,4,3,3,10,Loyal Customer
469,3916,8.0,23.0,555.0,4,4,3,11,Loyal Customer
470,2021,53.0,30.0,817.0,2,4,4,10,Loyal Customer
471,1581,82.0,4.0,12.0,1,1,1,3,Potential Lost Customer
472,564,19.0,24.0,566.0,4,4,3,11,Loyal Customer
473,6619,9.0,5.0,39.0,4,1,1,6,Potential Loyalists Customer
474,9081,42.0,5.0,20.0,3,1,1,5,New Customer
475,178,60.0,23.0,604.0,2,4,3,9,Loyal Customer
476,916,33.0,5.0,26.0,3,1,1,5,New Customer
477,5512,81.0,17.0,373.0,1,3,3,7,Potential Loyalists Customer
478,8970,7.0,16.0,382.0,4,3,3,10,Loyal Customer
479,10581,59.0,15.0,370.0,2,3,3,8,Loyal Customer
480,5300,40.0,6.0,65.0,3,1,2,6,Potential Loyalists Customer
481,5154,46.0,6.0,49.0,3,1,1,5,New Customer
482,8346,74.0,11.0,239.0,2,2,2,6,Potential Loyalists Customer
483,1676,70.0,12.0,217.0,2,2,2,6,Potential Loyalists Customer
484,9286,7.0,19.0,485.0,4,3,3,10,Loyal Customer
485,2426,65.0,29.0,559.0,2,4,3,9,Loyal Customer
486,5172,96.0,16.0,649.0,1,3,4,8,Loyal Customer
487,5562,8.0,20.0,481.0,4,4,3,11,Loyal Customer
488,3436,76.0,5.0,15.0,2,1,1,4,New Customer
489,3921,4.0,10.0,178.0,4,2,2,8,Loyal Customer
490,3403,89.0,20.0,1023.0,1,4,4,9,Loyal Customer
491,22,1.0,13.0,248.0,4,2,2,8,Loyal Customer
492,10965,28.0,22.0,938.0,3,4,4,11,Loyal Customer
493,9426,23.0,12.0,561.0,4,2,3,9,Loyal Customer
494,6605,15.0,20.0,451.0,4,4,3,11,Loyal Customer
495,3136,12.0,20.0,445.0,4,4,3,11,Loyal Customer
496,8737,78.0,6.0,38.0,1,1,1,3,Potential Lost Customer
497,11088,17.0,18.0,966.0,4,3,4,11,Loyal Customer
498,716,37.0,25.0,606.0,3,4,3,10,Loyal Customer
499,466,91.0,21.0,484.0,1,4,3,8,Loyal Customer
500,9135,8.0,5.0,59.0,4,1,1,6,Potential Loyalists Customer
501,10623,98.0,5.0,27.0,1,1,1,3,Potential Lost Customer
502,8151,94.0,9.0,214.0,1,2,2,5,New Customer
503,5140,34.0,20.0,837.0,3,4,4,11,Loyal Customer
505,4945,71.0,27.0,739.0,2,4,4,10,Loyal Customer
506,10584,23.0,24.0,588.0,4,4,3,11,Loyal Customer
507,6071,23.0,22.0,710.0,4,4,4,12,Loyal Customer
508,3386,29.0,8.0,124.0,3,2,2,7,Potential Loyalists Customer
509,8939,51.0,20.0,476.0,3,4,3,10,Loyal Customer
510,9925,3.0,10.0,184.0,4,2,2,8,Loyal Customer
511,4320,94.0,23.0,587.0,1,4,3,8,Loyal Customer
512,5389,7.0,14.0,271.0,4,3,2,9,Loyal Customer
513,6036,22.0,19.0,992.0,4,3,4,11,Loyal Customer
514,182,38.0,14.0,301.0,3,3,2,8,Loyal Customer
515,203,53.0,22.0,1021.0,2,4,4,10,Loyal Customer
516,11025,91.0,8.0,125.0,1,2,2,5,New Customer
517,10203,23.0,5.0,37.0,4,1,1,6,Potential Loyalists Customer
518,4607,76.0,17.0,501.0,2,3,3,8,Loyal Customer
519,3711,81.0,20.0,985.0,1,4,4,9,Loyal Customer
520,3696,33.0,6.0,47.0,3,1,1,5,New Customer
521,2532,5.0,13.0,913.0,4,2,4,10,Loyal Customer
522,9214,52.0,13.0,278.0,2,2,2,6,Potential Loyalists Customer
523,4943,27.0,16.0,940.0,3,3,4,10,Loyal Customer
524,35,65.0,8.0,180.0,2,2,2,6,Potential Loyalists Customer
525,2258,24.0,5.0,37.0,4,1,1,6,Potential Loyalists Customer
526,4322,80.0,20.0,777.0,1,4,4,9,Loyal Customer
527,713,28.0,15.0,332.0,3,3,3,9,Loyal Customer
528,4702,80.0,17.0,982.0,1,3,4,8,Loyal Customer
529,3281,31.0,14.0,311.0,3,3,3,9,Loyal Customer
530,702,20.0,16.0,375.0,4,3,3,10,Loyal Customer
531,2004,35.0,17.0,716.0,3,3,4,10,Loyal Customer
532,4769,48.0,17.0,361.0,3,3,3,9,Loyal Customer
533,4437,35.0,11.0,213.0,3,2,2,7,Potential Loyalists Customer
534,8724,43.0,6.0,41.0,3,1,1,5,New Customer
535,10741,30.0,13.0,257.0,3,2,2,7,Potential Loyalists Customer
536,1991,100.0,7.0,91.0,1,1,2,4,New Customer
537,6931,81.0,16.0,651.0,1,3,4,8,Loyal Customer
538,11096,50.0,11.0,195.0,3,2,2,7,Potential Loyalists Customer
539,304,33.0,7.0,71.0,3,1,2,6,Potential Loyalists Customer
540,3665,54.0,7.0,49.0,2,1,1,4,New Customer
541,10591,63.0,10.0,176.0,2,2,2,6,Potential Loyalists Customer
542,5036,62.0,13.0,307.0,2,2,3,7,Potential Loyalists Customer
543,5547,91.0,20.0,989.0,1,4,4,9,Loyal Customer
544,7822,44.0,19.0,444.0,3,3,3,9,Loyal Customer
545,8541,2.0,7.0,36.0,4,1,1,6,Potential Loyalists Customer
546,10955,32.0,14.0,896.0,3,3,4,10,Loyal Customer
547,4368,28.0,8.0,122.0,3,2,2,7,Potential Loyalists Customer
548,9671,53.0,7.0,64.0,2,1,1,4,New Customer
549,2256,67.0,5.0,16.0,2,1,1,4,New Customer
550,4279,13.0,6.0,49.0,4,1,1,6,Potential Loyalists Customer
551,5371,100.0,7.0,86.0,1,1,2,4,New Customer
552,9240,27.0,17.0,378.0,3,3,3,9,Loyal Customer
553,9460,26.0,8.0,146.0,4,2,2,8,Loyal Customer
554,9504,96.0,25.0,623.0,1,4,3,8,Loyal Customer
555,8692,50.0,11.0,200.0,3,2,2,7,Potential Loyalists Customer
556,448,43.0,20.0,509.0,3,4,3,10,Loyal Customer
557,8314,70.0,19.0,953.0,2,3,4,9,Loyal Customer
558,8420,73.0,7.0,59.0,2,1,1,4,New Customer
559,3174,39.0,20.0,999.0,3,4,4,11,Loyal Customer
560,7685,96.0,7.0,73.0,1,1,2,4,New Customer
561,3179,25.0,20.0,883.0,4,4,4,12,Loyal Customer
562,9780,88.0,25.0,509.0,1,4,3,8,Loyal Customer
563,10681,87.0,22.0,554.0,1,4,3,8,Loyal Customer
564,10232,91.0,13.0,264.0,1,2,2,5,New Customer
565,4184,52.0,11.0,216.0,2,2,2,6,Potential Loyalists Customer
566,9120,20.0,16.0,653.0,4,3,4,11,Loyal Customer
567,891,40.0,4.0,6.0,3,1,1,5,New Customer
568,10381,57.0,4.0,16.0,2,1,1,4,New Customer
569,3525,81.0,4.0,12.0,1,1,1,3,Potential Lost Customer
570,6818,74.0,12.0,286.0,2,2,2,6,Potential Loyalists Customer
571,3526,42.0,5.0,33.0,3,1,1,5,New Customer
572,8181,58.0,9.0,158.0,2,2,2,6,Potential Loyalists Customer
573,1029,73.0,12.0,229.0,2,2,2,6,Potential Loyalists Customer
574,7369,44.0,6.0,57.0,3,1,1,5,New Customer
575,2574,73.0,19.0,749.0,2,3,4,9,Loyal Customer
576,8159,90.0,9.0,161.0,1,2,2,5,New Customer
577,1160,52.0,7.0,44.0,2,1,1,4,New Customer
578,10242,61.0,7.0,70.0,2,1,2,5,New Customer
579,5253,15.0,11.0,193.0,4,2,2,8,Loyal Customer
580,5966,36.0,11.0,183.0,3,2,2,7,Potential Loyalists Customer
582,5081,46.0,5.0,42.0,3,1,1,5,New Customer
583,5123,43.0,7.0,129.0,3,1,2,6,Potential Loyalists Customer
584,5756,36.0,6.0,50.0,3,1,1,5,New Customer
585,8036,90.0,8.0,58.0,1,2,1,4,New Customer
586,9058,35.0,22.0,977.0,3,4,4,11,Loyal Customer
587,5057,26.0,19.0,421.0,4,3,3,10,Loyal Customer
588,254,96.0,16.0,350.0,1,3,3,7,Potential Loyalists Customer
589,4179,6.0,6.0,50.0,4,1,1,6,Potential Loyalists Customer
590,3710,59.0,6.0,76.0,2,1,2,5,New Customer
591,7627,75.0,22.0,1018.0,2,4,4,10,Loyal Customer
592,4501,6.0,20.0,849.0,4,4,4,12,Loyal Customer
593,6424,91.0,5.0,44.0,1,1,1,3,Potential Lost Customer
594,3075,53.0,15.0,292.0,2,3,2,7,Potential Loyalists Customer
595,4992,88.0,7.0,64.0,1,1,1,3,Potential Lost Customer
596,5252,20.0,6.0,62.0,4,1,1,6,Potential Loyalists Customer
597,7444,80.0,5.0,25.0,1,1,1,3,Potential Lost Customer
598,6919,61.0,7.0,58.0,2,1,1,4,New Customer
599,3537,43.0,8.0,74.0,3,2,2,7,Potential Loyalists Customer
600,10277,73.0,5.0,37.0,2,1,1,4,New Customer
601,2453,17.0,21.0,523.0,4,4,3,11,Loyal Customer
602,7972,21.0,17.0,706.0,4,3,4,11,Loyal Customer
603,895,31.0,18.0,410.0,3,3,3,9,Loyal Customer
604,1177,23.0,8.0,117.0,4,2,2,8,Loyal Customer
605,7141,85.0,9.0,182.0,1,2,2,5,New Customer
607,8477,39.0,5.0,23.0,3,1,1,5,New Customer
608,2457,77.0,5.0,40.0,1,1,1,3,Potential Lost Customer
609,988,16.0,18.0,733.0,4,3,4,11,Loyal Customer
610,7930,26.0,11.0,219.0,4,2,2,8,Loyal Customer
611,4587,10.0,12.0,217.0,4,2,2,8,Loyal Customer
612,6682,59.0,5.0,32.0,2,1,1,4,New Customer
614,10299,27.0,23.0,552.0,3,4,3,10,Loyal Customer
615,3083,12.0,14.0,289.0,4,3,2,9,Loyal Customer
616,8953,6.0,5.0,30.0,4,1,1,6,Potential Loyalists Customer
617,1503,69.0,2.0,100.0,2,1,2,5,New Customer
618,8650,69.0,5.0,37.0,2,1,1,4,New Customer
619,10862,94.0,13.0,262.0,1,2,2,5,New Customer
620,2782,77.0,15.0,305.0,1,3,3,7,Potential Loyalists Customer
621,6941,8.0,6.0,90.0,4,1,2,7,Potential Loyalists Customer
622,10972,48.0,14.0,585.0,3,3,3,9,Loyal Customer
623,10708,50.0,5.0,28.0,3,1,1,5,New Customer
624,6583,46.0,21.0,608.0,3,4,3,10,Loyal Customer
625,3641,7.0,6.0,31.0,4,1,1,6,Potential Loyalists Customer
626,10156,44.0,20.0,753.0,3,4,4,11,Loyal Customer
627,4299,72.0,28.0,969.0,2,4,4,10,Loyal Customer
628,3469,6.0,7.0,98.0,4,1,2,7,Potential Loyalists Customer
629,5063,24.0,10.0,169.0,4,2,2,8,Loyal Customer
630,10727,57.0,24.0,890.0,2,4,4,10,Loyal Customer
631,9624,54.0,14.0,595.0,2,3,3,8,Loyal Customer
633,4376,73.0,7.0,88.0,2,1,2,5,New Customer
634,8923,88.0,21.0,891.0,1,4,4,9,Loyal Customer
635,8461,97.0,4.0,11.0,1,1,1,3,Potential Lost Customer
636,6945,28.0,32.0,807.0,3,4,4,11,Loyal Customer
637,944,94.0,14.0,298.0,1,3,2,6,Potential Loyalists Customer
638,1907,47.0,22.0,848.0,3,4,4,11,Loyal Customer
639,701,42.0,17.0,723.0,3,3,4,10,Loyal Customer
641,4149,43.0,21.0,798.0,3,4,4,11,Loyal Customer
642,2131,63.0,20.0,782.0,2,4,4,10,Loyal Customer
643,2942,80.0,14.0,356.0,1,3,3,7,Potential Loyalists Customer
644,1173,27.0,13.0,1036.0,3,2,4,9,Loyal Customer
645,4381,44.0,11.0,197.0,3,2,2,7,Potential Loyalists Customer
646,4611,64.0,31.0,939.0,2,4,4,10,Loyal Customer
647,3376,91.0,11.0,197.0,1,2,2,5,New Customer
648,4679,58.0,26.0,671.0,2,4,4,10,Loyal Customer
649,10928,72.0,16.0,414.0,2,3,3,8,Loyal Customer
650,4248,77.0,20.0,1005.0,1,4,4,9,Loyal Customer
651,6728,62.0,5.0,43.0,2,1,1,4,New Customer
652,6661,37.0,28.0,720.0,3,4,4,11,Loyal Customer
653,4725,29.0,7.0,62.0,3,1,1,5,New Customer
654,3277,91.0,14.0,283.0,1,3,2,6,Potential Loyalists Customer
655,5555,19.0,1.0,2.0,4,1,1,6,Potential Loyalists Customer
656,2564,13.0,9.0,148.0,4,2,2,8,Loyal Customer
658,3867,64.0,26.0,673.0,2,4,4,10,Loyal Customer
659,6940,14.0,9.0,190.0,4,2,2,8,Loyal Customer
660,55,17.0,19.0,413.0,4,3,3,10,Loyal Customer
662,5084,13.0,24.0,652.0,4,4,4,12,Loyal Customer
663,1777,71.0,6.0,69.0,2,1,2,5,New Customer
664,8162,12.0,5.0,21.0,4,1,1,6,Potential Loyalists Customer
665,10826,23.0,5.0,55.0,4,1,1,6,Potential Loyalists Customer
666,8754,75.0,4.0,15.0,2,1,1,4,New Customer
667,1987,66.0,6.0,54.0,2,1,1,4,New Customer
668,11007,57.0,5.0,29.0,2,1,1,4,New Customer
669,7426,24.0,10.0,174.0,4,2,2,8,Loyal Customer
670,9153,19.0,26.0,646.0,4,4,3,11,Loyal Customer
671,10379,13.0,17.0,401.0,4,3,3,10,Loyal Customer
672,9204,67.0,14.0,635.0,2,3,3,8,Loyal Customer
673,3197,62.0,19.0,447.0,2,3,3,8,Loyal Customer
675,6961,74.0,4.0,6.0,2,1,1,4,New Customer
676,4673,83.0,19.0,755.0,1,3,4,8,Loyal Customer
677,9937,25.0,17.0,403.0,4,3,3,10,Loyal Customer
678,8779,87.0,9.0,153.0,1,2,2,5,New Customer
679,9596,81.0,20.0,446.0,1,4,3,8,Loyal Customer
680,2891,49.0,22.0,578.0,3,4,3,10,Loyal Customer
681,4910,19.0,30.0,1016.0,4,4,4,12,Loyal Customer
682,75,68.0,15.0,347.0,2,3,3,8,Loyal Customer
683,10120,16.0,11.0,210.0,4,2,2,8,Loyal Customer
684,6327,13.0,17.0,701.0,4,3,4,11,Loyal Customer
685,10142,1.0,19.0,456.0,4,3,3,10,Loyal Customer
686,9826,4.0,22.0,1024.0,4,4,4,12,Loyal Customer
687,1501,79.0,30.0,937.0,1,4,4,9,Loyal Customer
688,10767,60.0,21.0,797.0,2,4,4,10,Loyal Customer
689,7279,97.0,15.0,643.0,1,3,3,7,Potential Loyalists Customer
690,7230,2.0,17.0,361.0,4,3,3,10,Loyal Customer
691,143,27.0,13.0,592.0,3,2,3,8,Loyal Customer
692,450,10.0,10.0,221.0,4,2,2,8,Loyal Customer
693,9316,71.0,5.0,24.0,2,1,1,4,New Customer
694,6379,97.0,7.0,110.0,1,1,2,4,New Customer
695,9239,6.0,8.0,114.0,4,2,2,8,Loyal Customer
696,8315,35.0,4.0,18.0,3,1,1,5,New Customer
697,2868,67.0,6.0,52.0,2,1,1,4,New Customer
698,10888,54.0,19.0,432.0,2,3,3,8,Loyal Customer
699,1277,71.0,28.0,620.0,2,4,3,9,Loyal Customer
700,9977,1.0,18.0,480.0,4,3,3,10,Loyal Customer
701,10196,74.0,19.0,423.0,2,3,3,8,Loyal Customer
702,6384,70.0,19.0,839.0,2,3,4,9,Loyal Customer
703,8029,73.0,15.0,903.0,2,3,4,9,Loyal Customer
704,968,76.0,10.0,166.0,2,2,2,6,Potential Loyalists Customer
706,4472,66.0,6.0,52.0,2,1,1,4,New Customer
707,6991,12.0,19.0,433.0,4,3,3,10,Loyal Customer
708,3336,4.0,12.0,590.0,4,2,3,9,Loyal Customer
710,1940,74.0,4.0,13.0,2,1,1,4,New Customer
711,1272,51.0,23.0,564.0,3,4,3,10,Loyal Customer
712,1388,89.0,7.0,103.0,1,1,2,4,New Customer
713,1044,56.0,18.0,412.0,2,3,3,8,Loyal Customer
714,6969,25.0,11.0,196.0,4,2,2,8,Loyal Customer
715,10479,36.0,11.0,863.0,3,2,4,9,Loyal Customer
716,3619,81.0,17.0,707.0,1,3,4,8,Loyal Customer
717,1715,55.0,6.0,43.0,2,1,1,4,New Customer
718,10159,23.0,26.0,726.0,4,4,4,12,Loyal Customer
719,1463,91.0,4.0,16.0,1,1,1,3,Potential Lost Customer
720,5114,99.0,15.0,597.0,1,3,3,7,Potential Loyalists Customer
721,4990,10.0,21.0,546.0,4,4,3,11,Loyal Customer
722,4329,57.0,5.0,11.0,2,1,1,4,New Customer
723,10936,21.0,16.0,997.0,4,3,4,11,Loyal Customer
724,4692,81.0,8.0,66.0,1,2,2,5,New Customer
726,6086,38.0,24.0,812.0,3,4,4,11,Loyal Customer
727,437,59.0,23.0,633.0,2,4,3,9,Loyal Customer
728,11171,40.0,15.0,311.0,3,3,3,9,Loyal Customer
729,11101,83.0,26.0,531.0,1,4,3,8,Loyal Customer
730,5329,76.0,4.0,6.0,2,1,1,4,New Customer
731,610,40.0,16.0,352.0,3,3,3,9,Loyal Customer
733,5956,26.0,12.0,232.0,4,2,2,8,Loyal Customer
734,10430,78.0,12.0,846.0,1,2,4,7,Potential Loyalists Customer
735,7875,54.0,26.0,922.0,2,4,4,10,Loyal Customer
736,7072,31.0,18.0,792.0,3,3,4,10,Loyal Customer
737,6255,71.0,13.0,266.0,2,2,2,6,Potential Loyalists Customer
738,6516,63.0,4.0,13.0,2,1,1,4,New Customer
739,5564,74.0,19.0,794.0,2,3,4,9,Loyal Customer
740,5682,92.0,27.0,675.0,1,4,4,9,Loyal Customer
741,7458,74.0,7.0,92.0,2,1,2,5,New Customer
742,5237,21.0,7.0,58.0,4,1,1,6,Potential Loyalists Customer
743,7761,29.0,8.0,102.0,3,2,2,7,Potential Loyalists Customer
744,5278,17.0,21.0,563.0,4,4,3,11,Loyal Customer
745,3560,43.0,20.0,885.0,3,4,4,11,Loyal Customer
746,7235,63.0,7.0,33.0,2,1,1,4,New Customer
747,10548,70.0,24.0,593.0,2,4,3,9,Loyal Customer
748,2281,66.0,4.0,23.0,2,1,1,4,New Customer
749,4073,100.0,28.0,742.0,1,4,4,9,Loyal Customer
750,6974,11.0,22.0,857.0,4,4,4,12,Loyal Customer
751,7938,8.0,16.0,338.0,4,3,3,10,Loyal Customer
753,3667,80.0,25.0,950.0,1,4,4,9,Loyal Customer
754,7723,44.0,21.0,834.0,3,4,4,11,Loyal Customer
755,3870,72.0,24.0,622.0,2,4,3,9,Loyal Customer
756,4012,45.0,19.0,746.0,3,3,4,10,Loyal Customer
757,5909,75.0,16.0,718.0,2,3,4,9,Loyal Customer
758,10470,100.0,7.0,87.0,1,1,2,4,New Customer
759,6488,14.0,8.0,94.0,4,2,2,8,Loyal Customer
760,10270,92.0,7.0,61.0,1,1,1,3,Potential Lost Customer
761,6887,67.0,18.0,397.0,2,3,3,8,Loyal Customer
762,6406,87.0,21.0,829.0,1,4,4,9,Loyal Customer
763,7573,88.0,6.0,81.0,1,1,2,4,New Customer
764,4508,8.0,19.0,528.0,4,3,3,10,Loyal Customer
765,221,10.0,10.0,202.0,4,2,2,8,Loyal Customer
766,5331,92.0,17.0,978.0,1,3,4,8,Loyal Customer
767,1911,94.0,29.0,800.0,1,4,4,9,Loyal Customer
768,20,9.0,8.0,162.0,4,2,2,8,Loyal Customer
769,8786,48.0,15.0,339.0,3,3,3,9,Loyal Customer
770,10582,97.0,20.0,490.0,1,4,3,8,Loyal Customer
771,1915,43.0,20.0,861.0,3,4,4,11,Loyal Customer
772,8897,91.0,18.0,439.0,1,3,3,7,Potential Loyalists Customer
773,2371,78.0,7.0,76.0,1,1,2,4,New Customer
774,4303,24.0,2.0,124.0,4,1,2,7,Potential Loyalists Customer
775,6825,14.0,4.0,11.0,4,1,1,6,Potential Loyalists Customer
776,1072,36.0,7.0,88.0,3,1,2,6,Potential Loyalists Customer
777,4964,10.0,18.0,711.0,4,3,4,11,Loyal Customer
778,2461,21.0,5.0,38.0,4,1,1,6,Potential Loyalists Customer
779,10736,72.0,21.0,868.0,2,4,4,10,Loyal Customer
780,3194,14.0,19.0,749.0,4,3,4,11,Loyal Customer
781,10839,58.0,5.0,24.0,2,1,1,4,New Customer
782,49,61.0,5.0,20.0,2,1,1,4,New Customer
783,4290,92.0,4.0,19.0,1,1,1,3,Potential Lost Customer
784,10219,60.0,5.0,33.0,2,1,1,4,New Customer
785,4211,95.0,6.0,52.0,1,1,1,3,Potential Lost Customer
786,1135,4.0,8.0,42.0,4,2,1,7,Potential Loyalists Customer
787,6299,72.0,19.0,518.0,2,3,3,8,Loyal Customer
788,10846,78.0,17.0,426.0,1,3,3,7,Potential Loyalists Customer
789,347,70.0,14.0,290.0,2,3,2,7,Potential Loyalists Customer
790,6543,55.0,14.0,899.0,2,3,4,9,Loyal Customer
791,10446,42.0,17.0,475.0,3,3,3,9,Loyal Customer
792,3479,51.0,6.0,45.0,3,1,1,5,New Customer
793,11075,63.0,12.0,221.0,2,2,2,6,Potential Loyalists Customer
794,4442,30.0,8.0,158.0,3,2,2,7,Potential Loyalists Customer
795,199,67.0,13.0,253.0,2,2,2,6,Potential Loyalists Customer
796,6722,2.0,21.0,495.0,4,4,3,11,Loyal Customer
797,796,83.0,24.0,657.0,1,4,4,9,Loyal Customer
798,3749,46.0,24.0,888.0,3,4,4,11,Loyal Customer
799,8523,61.0,8.0,55.0,2,2,1,5,New Customer
800,310,19.0,18.0,400.0,4,3,3,10,Loyal Customer
801,8629,29.0,5.0,36.0,3,1,1,5,New Customer
802,236,38.0,8.0,151.0,3,2,2,7,Potential Loyalists Customer
803,9930,92.0,28.0,715.0,1,4,4,9,Loyal Customer
804,3483,24.0,23.0,869.0,4,4,4,12,Loyal Customer
805,4599,34.0,16.0,342.0,3,3,3,9,Loyal Customer
806,7326,17.0,6.0,58.0,4,1,1,6,Potential Loyalists Customer
807,7352,72.0,14.0,306.0,2,3,3,8,Loyal Customer
808,2350,13.0,14.0,633.0,4,3,3,10,Loyal Customer
809,9145,57.0,21.0,849.0,2,4,4,10,Loyal Customer
810,2964,100.0,5.0,67.0,1,1,2,4,New Customer
811,5585,99.0,6.0,43.0,1,1,1,3,Potential Lost Customer
812,9687,99.0,16.0,472.0,1,3,3,7,Potential Loyalists Customer
813,3732,28.0,22.0,542.0,3,4,3,10,Loyal Customer
814,6303,28.0,23.0,857.0,3,4,4,11,Loyal Customer
815,11176,88.0,17.0,363.0,1,3,3,7,Potential Loyalists Customer
816,2986,11.0,4.0,15.0,4,1,1,6,Potential Loyalists Customer
817,7462,33.0,17.0,399.0,3,3,3,9,Loyal Customer
818,3900,46.0,21.0,496.0,3,4,3,10,Loyal Customer
819,7034,66.0,6.0,50.0,2,1,1,4,New Customer
820,9493,85.0,18.0,963.0,1,3,4,8,Loyal Customer
821,1143,57.0,6.0,50.0,2,1,1,4,New Customer
822,1,100.0,18.0,404.0,1,3,3,7,Potential Loyalists Customer
825,5989,49.0,24.0,887.0,3,4,4,11,Loyal Customer
826,9499,3.0,15.0,901.0,4,3,4,11,Loyal Customer
827,6768,25.0,5.0,31.0,4,1,1,6,Potential Loyalists Customer
828,2150,17.0,22.0,851.0,4,4,4,12,Loyal Customer
829,6646,77.0,5.0,17.0,1,1,1,3,Potential Lost Customer
830,4887,35.0,6.0,58.0,3,1,1,5,New Customer
831,8560,6.0,18.0,450.0,4,3,3,10,Loyal Customer
832,3321,58.0,18.0,386.0,2,3,3,8,Loyal Customer
833,11003,90.0,6.0,45.0,1,1,1,3,Potential Lost Customer
834,10402,6.0,5.0,34.0,4,1,1,6,Potential Loyalists Customer
835,9904,50.0,24.0,642.0,3,4,3,10,Loyal Customer
836,6141,54.0,13.0,294.0,2,2,2,6,Potential Loyalists Customer
837,5687,2.0,27.0,907.0,4,4,4,12,Loyal Customer
838,10856,58.0,5.0,41.0,2,1,1,4,New Customer
839,5121,70.0,19.0,491.0,2,3,3,8,Loyal Customer
840,4186,89.0,7.0,71.0,1,1,2,4,New Customer
841,368,39.0,12.0,235.0,3,2,2,7,Potential Loyalists Customer
842,3312,88.0,8.0,84.0,1,2,2,5,New Customer
843,11121,24.0,8.0,65.0,4,2,2,8,Loyal Customer
844,5332,98.0,17.0,654.0,1,3,4,8,Loyal Customer
845,5848,57.0,19.0,1006.0,2,3,4,9,Loyal Customer
846,10343,73.0,18.0,796.0,2,3,4,9,Loyal Customer
847,5935,40.0,21.0,493.0,3,4,3,10,Loyal Customer
848,2895,21.0,10.0,173.0,4,2,2,8,Loyal Customer
849,10262,4.0,8.0,48.0,4,2,1,7,Potential Loyalists Customer
850,7848,83.0,12.0,285.0,1,2,2,5,New Customer
852,4856,62.0,25.0,975.0,2,4,4,10,Loyal Customer
853,7186,57.0,5.0,30.0,2,1,1,4,New Customer
854,5794,99.0,16.0,335.0,1,3,3,7,Potential Loyalists Customer
855,1456,75.0,25.0,724.0,2,4,4,10,Loyal Customer
856,4877,98.0,5.0,36.0,1,1,1,3,Potential Lost Customer
857,425,34.0,20.0,473.0,3,4,3,10,Loyal Customer
858,3007,51.0,5.0,35.0,3,1,1,5,New Customer
859,1031,95.0,26.0,651.0,1,4,4,9,Loyal Customer
860,4297,29.0,6.0,35.0,3,1,1,5,New Customer
861,807,65.0,12.0,236.0,2,2,2,6,Potential Loyalists Customer
862,9553,6.0,4.0,10.0,4,1,1,6,Potential Loyalists Customer
863,4271,20.0,12.0,269.0,4,2,2,8,Loyal Customer
864,4120,39.0,12.0,286.0,3,2,2,7,Potential Loyalists Customer
865,2036,71.0,15.0,304.0,2,3,3,8,Loyal Customer
866,115,100.0,15.0,298.0,1,3,2,6,Potential Loyalists Customer
867,4259,20.0,4.0,5.0,4,1,1,6,Potential Loyalists Customer
868,8687,46.0,14.0,356.0,3,3,3,9,Loyal Customer
869,2447,29.0,6.0,64.0,3,1,1,5,New Customer
870,10140,73.0,17.0,940.0,2,3,4,9,Loyal Customer
871,9353,39.0,15.0,616.0,3,3,3,9,Loyal Customer
872,3623,45.0,8.0,40.0,3,2,1,6,Potential Loyalists Customer
873,738,65.0,9.0,161.0,2,2,2,6,Potential Loyalists Customer
874,7631,66.0,23.0,612.0,2,4,3,9,Loyal Customer
875,4789,5.0,18.0,922.0,4,3,4,11,Loyal Customer
876,773,36.0,17.0,411.0,3,3,3,9,Loyal Customer
877,10602,70.0,8.0,140.0,2,2,2,6,Potential Loyalists Customer
878,1446,88.0,28.0,746.0,1,4,4,9,Loyal Customer
